Service Name,Category,Description,Base Price,Units,Average Duration (Days),Active Suppliers (Count),Service Image,Suppliers
Carpintería General y reparaciones,Woodwork,Trabajos de carpinteria general como fabricacion o reparacion de muebles genereales o servicio de pintura,$450.00,Servicio,1,3,,"Carpintería Diaz,Mono Atelier,Zamora"
Instalación de centro de carga,Electrical,Instalar y conectar centro de carga en residencial,"$1,500.00",Servicio,1,1,,EMDICO
Instalación de MiniSplit,Electrical,Instalación y conexion de minisplit 110V,$950.00,Servicio,1,0,,EMDICO
Instalación de Unidad paquete,Electrical,Instalación y conexion de Unidad Paquete,"$3,500.00",Servicio,1,0,,EMDICO
Analisis de falla electrica,Electrical,Diagnostico,$300.00,Servicio,1,0,,EMDICO
Cambio de Apagador o Tomacorriente,Electrical,,$280.00,Servicio,1,0,,EMDICO
Instalación eléctrica,Electrical,Instalacion electrica 110v,$920.00,Mt Lineal,1,0,,EMDICO
Muro Tablaroca interno 2 caras,Construction,"Levantamiento de Muros en tabla roca 2 caras, incluye estructuras de perfilería de aluminio y acabado en juntas y pasta, no incluye pintura",$580.00,Mt2,1,0,,Mono Atelier
Trabajo de cielo,Construction,"Recubrimiento de tablaroca en cielo de casa interno, incluye estructuras de perfilería de aluminio y acabado en juntas y pasta, no incluye pintura",$450.00,Mt2,2,0,,Mono Atelier
Plancha de concreto firme,Construction,,$400.00,Mt2,3,0,,Mono Atelier
Detallado de muros,Construction,,$350.00,Mt2,2,0,,Mono Atelier
Levantamiento de muros y estructuras,Construction,,$350.00,Mt2,2,0,,Mono Atelier
Botones,Fashion Design,,$50.00,Pz,1,1,,Indigo
Bastilla,Fashion Design,,$99.00,Pz,1,1,,Indigo
Prenda a medida,Fashion Design,,$400.00,Servicio,15,1,,Indigo
Vestido a medida (No corsett),Fashion Design,,$950.00,Servicio,15,1,,Indigo
Vestido de novia,Fashion Design,,"$4,500.00",Servicio,35,1,,Indigo
Ajuste y pinzas,Fashion Design,,$95.00,Servicio,1,1,,Indigo
